Date,Open,Last,High,Low,Range,Volume,1Y POC,3Y POC,YTD POC,1WK POC,1M POC
2021/1/22,3854.00,3841.50,3856.25,3820.50,35.75,1186856,0.00,3993.00,0.00,0.00,0.00
2021/1/25,3842.75,3855.75,3860.50,3795.75,64.75,1763898,0.00,3993.00,0.00,0.00,0.00
2021/1/26,3852.25,3849.75,3869.50,3828.75,40.75,1172461,0.00,3993.00,0.00,0.00,0.00
2021/1/27,3852.50,3751.50,3860.25,3713.75,146.50,2572020,0.00,3993.00,0.00,0.00,0.00
2021/1/28,3742.50,3786.50,3830.75,3710.75,120.00,2149910,0.00,3993.00,0.00,0.00,0.00
2021/1/29,3777.50,3712.50,3784.50,3692.75,91.75,2691820,0.00,3993.00,0.00,0.00,0.00
2021/2/1,3699.50,3773.00,3784.25,3663.75,120.50,1687396,0.00,3993.00,0.00,0.00,0.00
2021/2/2,3772.00,3825.50,3843.00,3767.25,75.75,1419765,0.00,3993.00,0.00,0.00,0.00
2021/2/3,3836.75,3830.75,3850.75,3815.00,35.75,1285692,0.00,3993.00,0.00,0.00,0.00
2021/2/4,3840.00,3871.75,3877.00,3818.50,58.50,1136404,0.00,3993.00,0.00,0.00,0.00
2021/2/5,3871.50,3887.50,3895.50,3867.25,28.25,1138874,0.00,3993.00,0.00,0.00,0.00
2021/2/8,3896.25,3915.25,3918.50,3892.75,25.75,972437,0.00,3993.00,0.00,0.00,0.00
2021/2/9,3917.75,3912.75,3920.50,3902.25,18.25,881922,0.00,3993.00,0.00,0.00,0.00
2021/2/10,3919.50,3910.25,3935.75,3885.50,50.25,1560824,0.00,3993.00,0.00,0.00,0.00
2021/2/11,3914.25,3919.25,3927.75,3891.75,36.00,1296054,0.00,3993.00,0.00,0.00,0.00
2021/2/12,3912.50,3938.25,3943.50,3897.50,46.00,1050298,0.00,3993.00,0.00,0.00,0.00
2021/2/16,3943.75,3935.00,3966.50,3926.00,40.50,1450425,0.00,3993.00,0.00,0.00,0.00
2021/2/17,3936.25,3935.25,3939.50,3903.75,35.75,1382825,0.00,3993.00,0.00,0.00,0.00
2021/2/18,3935.50,3916.75,3943.25,3887.75,55.50,1536949,0.00,3993.00,0.00,0.00,0.00
