Date,Time,Last,High,Low,Volume,# of Trades,Bid Volume,Ask Volume,Delta,GLOBEX VWAP,IB High Ext 1,IB High,IB Mid,IB High Ext 3,IB High Ext 2,IB Low Ext 1,IB Low Ext 2,US POC,US VWAP,ON POC,GLOBEX VWAP
2023/2/15,00:50:00.0,4127.75,4127.75,4126.75,245,197,72,173,Delta,4133.41,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.41
2023/2/15,00:55:00.0,4127.50,4128.50,4127.50,322,273,152,170,Delta,4133.38,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.38
2023/2/15,01:00:00.0,4126.50,4127.75,4126.50,403,318,220,183,Delta,4133.33,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.33
2023/2/15,01:05:00.0,4126.00,4126.75,4126.00,319,238,189,130,Delta,4133.28,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.28
2023/2/15,01:10:00.0,4126.25,4126.25,4125.25,325,289,137,188,Delta,4133.24,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.24
2023/2/15,01:15:00.0,4127.50,4127.75,4126.00,315,261,154,161,Delta,4133.21,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.21
2023/2/15,01:20:00.0,4127.00,4127.50,4126.50,230,164,144,86,Delta,4133.18,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.18
2023/2/15,01:25:00.0,4126.25,4127.00,4126.00,229,194,111,118,Delta,4133.15,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.15
2023/2/15,01:30:00.0,4122.25,4126.00,4121.50,1603,1106,1114,489,Delta,4132.84,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.84
2023/2/15,01:35:00.0,4123.25,4123.50,4121.75,472,383,195,277,Delta,4132.76,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.76
2023/2/15,01:40:00.0,4124.25,4124.75,4123.00,531,391,208,323,Delta,4132.68,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.68
2023/2/15,01:45:00.0,4123.25,4124.50,4123.00,284,247,167,117,Delta,4132.63,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.63
2023/2/15,01:50:00.0,4124.50,4124.50,4123.25,182,161,68,114,Delta,4132.61,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.61
2023/2/15,01:55:00.0,4124.25,4124.75,4123.50,210,190,104,106,Delta,4132.58,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.58
2023/2/15,02:00:00.0,4128.00,4128.25,4123.00,1920,1378,786,1134,Delta,4132.43,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.43
2023/2/15,02:05:00.0,4125.25,4128.00,4125.25,963,703,515,448,Delta,4132.32,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.32
2023/2/15,02:10:00.0,4127.25,4127.50,4125.00,506,450,199,307,Delta,4132.27,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.27
2023/2/15,02:15:00.0,4127.25,4127.50,4126.50,391,361,167,224,Delta,4132.24,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.24
2023/2/15,02:20:00.0,4127.50,4127.75,4126.50,498,358,226,272,Delta,4132.20,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.20
2023/2/15,02:25:00.0,4127.00,4128.00,4126.00,844,638,482,362,Delta,4132.13,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4132.13
2023/2/15,02:30:00.0,4122.75,4127.00,4122.25,1376,999,876,500,Delta,4131.93,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4131.93
2023/2/15,02:35:00.0,4123.25,4124.00,4120.50,2211,1520,1156,1055,Delta,4131.64,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4131.64
2023/2/15,02:40:00.0,4124.75,4125.25,4123.25,1242,832,546,696,Delta,4131.52,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4131.52
2023/2/15,02:45:00.0,4126.50,4128.00,4124.50,1502,1149,715,787,Delta,4131.41,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4131.41
2023/2/15,02:50:00.0,4124.75,4126.75,4124.75,940,651,477,463,Delta,4131.32,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4131.32
2023/2/15,02:55:00.0,4122.50,4125.25,4121.25,1671,1223,943,728,Delta,4131.11,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4131.11
2023/2/15,03:00:00.0,4121.00,4125.25,4120.25,3988,2870,2052,1936,Delta,4130.58,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.58
2023/2/15,03:05:00.0,4123.25,4125.00,4120.75,2857,2259,1486,1371,Delta,4130.32,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.32
2023/2/15,03:10:00.0,4122.25,4125.75,4122.00,2199,1858,1190,1009,Delta,4130.10,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.10
2023/2/15,03:15:00.0,4124.50,4124.50,4120.00,2120,1775,990,1130,Delta,4129.95,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.95
2023/2/15,03:20:00.0,4124.50,4126.00,4123.75,1946,1443,919,1027,Delta,4129.83,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.83
2023/2/15,03:25:00.0,4126.25,4127.00,4124.00,1498,1134,692,806,Delta,4129.77,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.77
2023/2/15,03:30:00.0,4129.75,4130.75,4126.25,2454,1717,955,1499,Delta,4129.77,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.77
2023/2/15,03:35:00.0,4128.00,4131.50,4128.00,3150,1958,1605,1545,Delta,4129.71,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.71
2023/2/15,03:40:00.0,4129.50,4130.00,4126.75,1591,1205,774,817,Delta,4129.70,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.70
2023/2/15,03:45:00.0,4131.25,4131.25,4129.50,1221,936,424,797,Delta,4129.72,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.72
2023/2/15,03:50:00.0,4131.25,4132.50,4130.25,1015,818,473,542,Delta,4129.74,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.74
2023/2/15,03:55:00.0,4129.25,4131.50,4129.00,1568,1110,763,805,Delta,4129.73,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.73
2023/2/15,04:00:00.0,4133.50,4134.00,4129.50,2912,2107,1216,1696,Delta,4129.84,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.84
2023/2/15,04:05:00.0,4133.50,4134.00,4131.25,1164,965,560,604,Delta,4129.88,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.88
2023/2/15,04:10:00.0,4130.75,4134.25,4130.50,1222,1000,617,605,Delta,4129.89,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.89
2023/2/15,04:15:00.0,4130.75,4132.50,4130.25,1266,1055,746,520,Delta,4129.90,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.90
2023/2/15,04:20:00.0,4131.50,4132.25,4130.50,1032,718,448,584,Delta,4129.92,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.92
2023/2/15,04:25:00.0,4130.25,4133.00,4130.25,1228,910,650,578,Delta,4129.92,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.92
2023/2/15,04:30:00.0,4131.50,4132.50,4130.25,1153,803,477,676,Delta,4129.94,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.94
2023/2/15,04:35:00.0,4133.50,4134.00,4131.50,1044,837,432,612,Delta,4129.97,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.97
2023/2/15,04:40:00.0,4132.25,4133.50,4131.25,875,700,473,402,Delta,4129.99,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4129.99
2023/2/15,04:45:00.0,4132.75,4134.75,4132.25,1253,913,520,733,Delta,4130.02,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.02
2023/2/15,04:50:00.0,4131.50,4133.00,4131.50,626,528,355,271,Delta,4130.03,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.03
2023/2/15,04:55:00.0,4131.50,4132.75,4131.25,479,386,227,252,Delta,4130.04,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.04
2023/2/15,05:00:00.0,4129.50,4131.50,4129.25,1258,983,729,529,Delta,4130.03,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.03
2023/2/15,05:05:00.0,4129.50,4130.50,4129.00,856,657,410,446,Delta,4130.03,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.03
2023/2/15,05:10:00.0,4129.50,4130.25,4128.75,564,463,269,295,Delta,4130.03,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.03
2023/2/15,05:15:00.0,4130.25,4130.75,4129.00,614,513,309,305,Delta,4130.03,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.03
2023/2/15,05:20:00.0,4130.25,4131.00,4130.00,1000,600,431,569,Delta,4130.03,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4130.03
